"Url","DA","PA","MozRank","LinksIn","Equity","SemRush Domain","SR Rank","SR KWords","SR Traffic","SR Costs","SR ULinks","SR HLinks","SR DLinks","CF","TF","EBL","RefDomains"
"fussballinfos.ch","27.5","39.0","4.3","10","9","fussballinfos.ch","8006084","159","6","0","9","9","110865","33","11","98312","107"
"fussballmanager-blog.de","16.7","29.1","0.0","0","0","notfound","0","0","0","0","1","1","176","16","5","171","10"
"fussball-wette.eu","17.7","29.4","4.6","38","17","fussball-wette.eu","39447222","1","0","0","10","11","1315","14","7","16","8"
"gamefront.de","47.0","54.9","4.9","870","827","gamefront.de","1774453","712","214","2","3237","4021","356049","17","19","737508","1644"
"games-spiele-kostenlos.de","21.3","27.7","4.3","35","28","notfound","0","0","0","0","138","155","443","15","16","699","33"
"gamingnewstime.de","30.4","40.6","5.6","124379","19710","gamingnewstime.de","8013780","382","6","0","266794","269710","269712","32","22","222391","190"
"geldimde","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url","bad_url"
"geld-verdienen-einfach-online.de","18.1","1.0","0.0","0","0","notfound","0","0","0","0","2","2","61","19","7","923","34"
"geschenke-wegweiser.de","27.5","28.5","4.2","13","2","notfound","0","0","0","0","36","87","251","21","22","565","62"
"gewinnermarkt.de","20.3","1.0","0.0","0","0","notfound","0","0","0","0","7","7","210","17","5","164","26"
"Halle-Saalekreis-Netzwerk.de","28.1","38.0","4.5","517","1","notfound","0","0","0","0","13","13","734","13","19","2142","105"
"hamburg-zwei.de","34.4","39.1","3.4","4","4","hamburg-zwei.de","19487441","133","0","1","26","41","3014","32","21","3149","633"
"handy-flatrate.at","7.0","20.8","0.0","1","0","notfound","0","0","0","0","1","1","6","13","0","4","4"
"hitradio-msone.de","38.6","28.0","3.1","2","2","hitradio-msone.de","39022229","2","0","0","17","2474","2959","36","23","165342","414"
"hk-gebaeudetechnik.ch","41.3","36.2","4.3","4","4","hk-gebaeudetechnik.ch","16875190","13","0","0","39","471","10749","43","29","1434951","195"
"hsb-akademie.de","34.4","39.9","5.7","573","129","hsb-akademie.de","16811375","6","0","0","17","88","367","29","18","761","144"
"hypesrus.com","44.3","53.1","5.8","42597","42385","hypesrus.com","6618894","1260","12","0","4063","17633","21591","37","34","219823","1605"
"ideenblog.com","15.2","19.2","3.4","11","0","notfound","0","0","0","0","5","21","21","7","0","24","8"
"ihrjob.net","13.8","18.2","0.0","1","0","notfound","0","0","0","0","0","0","13","11","15","4","2"
"iloveleipzig.com","24.1","35.3","3.9","2","2","iloveleipzig.com","19494895","18","0","0","4","5","167","26","18","314","67"
"immobilien-finanztip.de","1.0","1.0","0.0","0","0","notfound","0","0","0","0","0","0","0","0","0","0","0"
"infoticker.ch","31.5","41.0","4.3","12","10","infoticker.ch","8344765","223","6","0","26","27","15875","37","16","85776","309"
"ingame.de","55.2","53.1","5.7","88688","27604","ingame.de","969221","9154","569","770","0","0","0","42","40","4121886","7324"
"internet-arbeit.com","14.9","24.9","5.0","49","0","notfound","0","0","0","0","52","56","229","14","16","173","14"
"intimcity.at","20.9","30.3","3.2","2","2","intimcity.at","4258682","22","41","0","2","2","14","14","18","1149","59"
"intimcityeurope.com","12.7","1.0","0.0","0","0","intimcityeurope.com","41821876","3","0","0","0","0","21","14","24","50","9"
"iofp.de","25.9","32.5","0.0","1","0","iofp.de","37221358","246","0","0","12","13","800","44","21","645943","1617"
"joiz.de","42.6","41.3","4.0","15","14","joiz.de","34513083","1","0","0","58","65","17251","22","17","4570","481"
"ka-news.de","58.0","49.3","5.3","133","37","ka-news.de","1286916","694","369","5","0","0","0","43","44","506435","4799"
"kasinoblog.net","10.0","21.3","3.2","1","1","notfound","0","0","0","0","2","2","19","13","3","33","9"
"klatsch-tratsch.de","40.6","41.0","3.1","29","6","klatsch-tratsch.de","7021505","1350","10","0","197","3300","86189","46","38","153823","2941"
"knicket.com","37.3","47.0","5.0","87","33","knicket.com","1368968","9486","334","200","103","110","3008","29","16","14194","1602"
"knowblogs.net","19.5","30.7","0.0","0","0","notfound","0","0","0","0","2","2","298","22","11","586","89"
"konsumentendienst.ch","19.5","29.0","4.4","54","9","konsumentendienst.ch","28933368","1","0","0","41","2606","2699","7","9","44","16"
